observed_on,latitude,longitude,time_observed_at,time_zone,out_of_range,common_name,taxon_family_name,scientific_name,taxon_id,id,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,id_please,captive_cultivated,coordinates_obscured,place_state_name,description
20060610,44.60690713,-110.383544,2006-06-11 00:14:00 UTC,Mountain Time (US & Canada),FALSE,Cutthroat Trout,Salmonidae,Oncorhynchus clarkii,68075,48938,4530,jay,2012-01-25 21:23:33 UTC,2014-10-19 16:17:54 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/48938,https://static.inaturalist.org/photos/78563/medium.jpg?1444509893,FALSE,FALSE,FALSE,Wyoming,Cutthroat trout headed up stream. Le Hardy Rapids.
20120407,47.40343475,-121.8989105,2012-04-07 22:51:42 UTC,Pacific Time (US & Canada),FALSE,Cutthroat Trout,Salmonidae,Oncorhynchus clarkii,68075,63207,4740,harvestman,2012-04-07 23:03:02 UTC,2014-10-19 17:00:45 UTC,research,CC-BY,http://www.inaturalist.org/observations/63207,https://static.inaturalist.org/photos/97141/medium.jpg,FALSE,FALSE,FALSE,Washington,
20120428,39.17080572,-123.0098361,2012-04-28 21:00:38 UTC,Pacific Time (US & Canada),FALSE,Rainbow Trout,Salmonidae,Oncorhynchus mykiss,47516,72221,5843,williamshailey6,2012-04-30 04:11:42 UTC,2017-04-05 22:27:43 UTC,research,CC-BY,http://www.inaturalist.org/observations/72221,https://static.inaturalist.org/photos/108737/medium.jpg,FALSE,FALSE,FALSE,California,"11 inches, scales are rainbow, fins are brown and spotted."
20080316,-53.85474539,-68.25137619,2008-03-16 11:23:00 UTC,Buenos Aires,,Brown Trout,Salmonidae,Salmo trutta,47518,122689,5134,jthomas,2012-09-14 19:45:44 UTC,2014-10-19 19:42:06 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/122689,https://static.inaturalist.org/photos/174871/medium.jpg?1444573526,FALSE,FALSE,FALSE,Tierra del Fuego,Brown trout tagging study on the Rio Grande in Tierra Del Fuego.  Study was conducted by U Montana. 
20121218,-45.11162517,167.9542947,2012-12-18 06:15:41 UTC,Brisbane,,Brown Trout,Salmonidae,Salmo trutta,47518,172543,8074,mccain,2013-01-04 04:27:50 UTC,2016-12-28 03:49:02 UTC,research,CC-BY,http://www.inaturalist.org/observations/172543,https://static.inaturalist.org/photos/228821/medium.jpg?1444582843,FALSE,FALSE,FALSE,Southland,
