observed_on,latitude,longitude,time_observed_at,time_zone,out_of_range,common_name,taxon_family_name,scientific_name,taxon_id,id,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,id_please,captive_cultivated,coordinates_obscured,place_state_name,description
20160926,35.49330925,-91.96736075,2016-09-26 16:48:18 UTC,Central Time (US & Canada),,River Trout,Salmonidae,Salmo trutta fario,47514,4215286,318214,mfria631,2016-09-27 16:49:50 UTC,2017-12-24 03:26:29 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4215286,https://static.inaturalist.org/photos/5029463/medium.jpeg?1474995022,FALSE,FALSE,FALSE,Arkansas,
20160821,40.29702451,-105.7311262,2016-08-21 16:55:04 UTC,Mountain Time (US & Canada),FALSE,Cutthroat Trout,Salmonidae,Oncorhynchus clarkii,68075,4231284,11060,john8,2016-09-29 17:19:47 UTC,2018-02-02 05:49:41 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4231284,https://static.inaturalist.org/photos/5054234/medium.jpg?1475169599,FALSE,FALSE,TRUE,Colorado,"Colorado's state fish. Dream Lake, Rocky Mountain National Park"
20160916,47.68802236,-122.8977822,2016-09-16 19:57:00 UTC,Pacific Time (US & Canada),FALSE,Chum Salmon,Salmonidae,Oncorhynchus keta,107572,4239629,51582,caraleigh,2016-09-30 20:40:21 UTC,2017-04-05 23:07:37 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4239629,https://static.inaturalist.org/photos/5066514/medium.jpg?1475267984,FALSE,FALSE,FALSE,Washington,in Dosewallips River
20160920,45.639488,-121.922836,2016-09-20 16:30:00 UTC,Pacific Time (US & Canada),FALSE,Chinook Salmon,Salmonidae,Oncorhynchus tshawytscha,54191,4242518,32423,pkleeman,2016-10-01 03:46:46 UTC,2016-10-02 05:46:24 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4242518,https://static.inaturalist.org/photos/5071289/medium.jpg?1475294176,FALSE,FALSE,FALSE,Oregon,
20161001,37.47916268,-122.4793403,2016-10-01 16:59:14 UTC,Pacific Time (US & Canada),FALSE,Chinook Salmon,Salmonidae,Oncorhynchus tshawytscha,54191,4252511,280544,joe_cutler,2016-10-02 15:47:56 UTC,2017-04-05 23:07:43 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4252511,https://static.inaturalist.org/photos/5086131/medium.jpg?1475423294,FALSE,FALSE,FALSE,California,
20160922,42.48790755,-73.11603972,2016-09-22 13:40:03 UTC,Eastern Time (US & Canada),,Brown Trout,Salmonidae,Salmo trutta,47518,4257007,165609,kylefitzroy,2016-10-03 00:37:24 UTC,2016-10-03 00:51:57 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4257007,https://static.inaturalist.org/photos/5093409/medium.jpg?1475455051,FALSE,FALSE,FALSE,Massachusetts,
20160922,42.48779167,-73.11517217,2016-09-22 15:11:53 UTC,Eastern Time (US & Canada),FALSE,Brook Trout,Salmonidae,Salvelinus fontinalis,49596,4257014,165609,kylefitzroy,2016-10-03 00:38:33 UTC,2017-05-10 17:43:00 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4257014,https://static.inaturalist.org/photos/5093419/medium.jpg?1475455124,FALSE,FALSE,FALSE,Massachusetts,
20160922,42.488245,-73.11534167,2016-09-22 14:37:23 UTC,Eastern Time (US & Canada),FALSE,Brook Trout,Salmonidae,Salvelinus fontinalis,49596,4257023,165609,kylefitzroy,2016-10-03 00:39:33 UTC,2017-05-10 17:42:41 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4257023,https://static.inaturalist.org/photos/5093431/medium.jpg?1475455181,FALSE,FALSE,FALSE,Massachusetts,
20161003,43.60376344,-73.01385529,2016-10-03 16:54:21 UTC,Eastern Time (US & Canada),,River Trout,Salmonidae,Salmo trutta fario,47514,4261086,303792,josh__duncan,2016-10-03 16:55:40 UTC,2016-10-04 17:23:53 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4261086,https://static.inaturalist.org/photos/5099973/medium.jpeg?1475513745,FALSE,FALSE,FALSE,Vermont,
20161003,42.28544049,-74.06799302,2016-10-03 17:09:41 UTC,Eastern Time (US & Canada),FALSE,Brook Trout,Salmonidae,Salvelinus fontinalis,49596,4261241,292196,dandj,2016-10-03 17:14:43 UTC,2016-10-07 14:55:18 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4261241,https://static.inaturalist.org/photos/5100340/medium.jpg?1475516518,FALSE,FALSE,FALSE,New York,"Trout Emmett 
"
