observed_on,latitude,longitude,time_observed_at,time_zone,out_of_range,common_name,taxon_family_name,scientific_name,taxon_id,id,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,id_please,captive_cultivated,coordinates_obscured,place_state_name,description
20170228,27.36588333,-80.36007833,2017-02-28 21:39:32 UTC,Eastern Time (US & Canada),,Florida Largemouth Bass,Centrarchidae,Micropterus floridanus,355459,5200116,415132,multispeciesfishingflorida,2017-02-28 23:23:39 UTC,2017-03-02 01:27:06 UTC,research,,https://www.inaturalist.org/observations/5200116,https://static.inaturalist.org/photos/6418483/medium.jpg?1488324308,FALSE,FALSE,FALSE,Florida,
20170205,27.25201167,-81.88061333,2017-02-05 21:23:24 UTC,Eastern Time (US & Canada),FALSE,Spotted Sunfish,Centrarchidae,Lepomis punctatus,104256,5200526,415132,multispeciesfishingflorida,2017-03-01 00:29:58 UTC,2018-01-29 01:57:01 UTC,research,,https://www.inaturalist.org/observations/5200526,https://static.inaturalist.org/photos/6419127/medium.jpg?1488328210,FALSE,FALSE,FALSE,Florida,
20170218,27.30698833,-80.405455,2017-02-18 13:59:21 UTC,Eastern Time (US & Canada),FALSE,Dollar Sunfish,Centrarchidae,Lepomis marginatus,104254,5200533,415132,multispeciesfishingflorida,2017-03-01 00:31:37 UTC,2017-11-07 16:23:12 UTC,research,,https://www.inaturalist.org/observations/5200533,https://static.inaturalist.org/photos/6419150/medium.jpg?1488328317,FALSE,FALSE,FALSE,Florida,
20170301,30.63897833,-97.58470833,2017-03-01 18:14:53 UTC,Central Time (US & Canada),FALSE,Green Sunfish,Centrarchidae,Lepomis cyanellus,58636,5208452,143755,marillionjade24,2017-03-02 02:05:01 UTC,2017-03-07 16:56:50 UTC,research,,https://www.inaturalist.org/observations/5208452,https://static.inaturalist.org/photos/6430960/medium.jpg?1488420313,FALSE,FALSE,FALSE,Texas,I caught 3 of these little guys. All looked bright and active.
20170302,33.1845739,-86.7672192,2017-03-02 20:40:00 UTC,Central America,FALSE,Bluegill,Centrarchidae,Lepomis macrochirus,49591,5212294,249927,photolizm,2017-03-02 20:42:55 UTC,2017-08-05 18:26:33 UTC,research,CC-BY,https://www.inaturalist.org/observations/5212294,https://static.inaturalist.org/photos/6436755/medium.jpg?1488487290,FALSE,FALSE,FALSE,Alabama,
20170308,32.10959589,-104.4719446,2017-03-08 17:13:00 UTC,Central Time (US & Canada),FALSE,Green Sunfish,Centrarchidae,Lepomis cyanellus,58636,5275305,115786,oddfitz,2017-03-10 20:26:00 UTC,2017-12-27 17:35:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5275305,https://static.inaturalist.org/photos/6520639/medium.jpeg?1489176806,FALSE,FALSE,FALSE,New Mexico,
20170310,32.84987,-97.47650833,2017-03-10 13:24:59 UTC,Central Time (US & Canada),FALSE,Spotted Bass,Centrarchidae,Micropterus punctulatus,105821,5296935,108372,griff,2017-03-13 13:03:11 UTC,2017-10-07 05:27:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5296935,https://static.inaturalist.org/photos/6555243/medium.jpg?1489410232,FALSE,FALSE,FALSE,Texas,
20170314,30.61456365,-95.52374125,2017-03-14 22:25:00 UTC,Central Time (US & Canada),,Redear Sunfish,Centrarchidae,Lepomis microlophus,85127,5322052,388036,bll634,2017-03-15 16:58:45 UTC,2017-03-23 22:18:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5322052,https://static.inaturalist.org/photos/6581329/medium.jpeg?1489596656,FALSE,FALSE,FALSE,Texas,
20170314,30.61438333,-95.52404722,2017-03-14 21:13:00 UTC,Central Time (US & Canada),,Redear Sunfish,Centrarchidae,Lepomis microlophus,85127,5322056,388036,bll634,2017-03-15 16:58:48 UTC,2017-03-30 22:43:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5322056,https://static.inaturalist.org/photos/6581339/medium.jpeg?1489596696,FALSE,FALSE,FALSE,Texas,
20170315,32.48192643,-84.5418562,2017-03-15 21:00:10 UTC,Eastern Time (US & Canada),FALSE,Warmouth,Centrarchidae,Lepomis gulosus,104252,5323981,394277,robert_page,2017-03-15 21:04:38 UTC,2017-05-09 15:28:56 UTC,research,,https://www.inaturalist.org/observations/5323981,https://static.inaturalist.org/photos/6584714/medium.jpg?1489612790,FALSE,FALSE,FALSE,Georgia,
20170315,32.48190937,-84.54178638,2017-03-15 21:04:00 UTC,Eastern Time (US & Canada),FALSE,Bluegill,Centrarchidae,Lepomis macrochirus,49591,5325034,394277,robert_page,2017-03-15 21:23:32 UTC,2017-05-09 15:25:52 UTC,research,,https://www.inaturalist.org/observations/5325034,https://static.inaturalist.org/photos/6596584/medium.jpg?1489692676,FALSE,FALSE,FALSE,Georgia,
20170315,32.481975,-84.54187,2017-03-15 21:01:15 UTC,Eastern Time (US & Canada),FALSE,Warmouth,Centrarchidae,Lepomis gulosus,104252,5331067,394855,livbailey,2017-03-15 22:31:13 UTC,2017-05-05 18:01:26 UTC,research,,https://www.inaturalist.org/observations/5331067,https://static.inaturalist.org/photos/6585796/medium.jpg?1489617083,FALSE,FALSE,FALSE,Georgia,"Possibly a hybrid?
"
