observed_on,latitude,longitude,time_observed_at,time_zone,out_of_range,common_name,taxon_family_name,scientific_name,taxon_id,id,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,id_please,captive_cultivated,coordinates_obscured,place_state_name,description
20060610,44.60690713,-110.383544,2006-06-11 00:14:00 UTC,Mountain Time (US & Canada),FALSE,Cutthroat Trout,Salmonidae,Oncorhynchus clarkii,68075,48938,4530,jay,2012-01-25 21:23:33 UTC,2014-10-19 16:17:54 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/48938,https://static.inaturalist.org/photos/78563/medium.jpg?1444509893,FALSE,FALSE,FALSE,Wyoming,Cutthroat trout headed up stream. Le Hardy Rapids.
20120407,47.40343475,-121.8989105,2012-04-07 22:51:42 UTC,Pacific Time (US & Canada),FALSE,Cutthroat Trout,Salmonidae,Oncorhynchus clarkii,68075,63207,4740,harvestman,2012-04-07 23:03:02 UTC,2014-10-19 17:00:45 UTC,research,CC-BY,http://www.inaturalist.org/observations/63207,https://static.inaturalist.org/photos/97141/medium.jpg,FALSE,FALSE,FALSE,Washington,
20120428,39.17080572,-123.0098361,2012-04-28 21:00:38 UTC,Pacific Time (US & Canada),FALSE,Rainbow Trout,Salmonidae,Oncorhynchus mykiss,47516,72221,5843,williamshailey6,2012-04-30 04:11:42 UTC,2017-04-05 22:27:43 UTC,research,CC-BY,http://www.inaturalist.org/observations/72221,https://static.inaturalist.org/photos/108737/medium.jpg,FALSE,FALSE,FALSE,California,"11 inches, scales are rainbow, fins are brown and spotted."
20080316,-53.85474539,-68.25137619,2008-03-16 11:23:00 UTC,Buenos Aires,,Brown Trout,Salmonidae,Salmo trutta,47518,122689,5134,jthomas,2012-09-14 19:45:44 UTC,2014-10-19 19:42:06 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/122689,https://static.inaturalist.org/photos/174871/medium.jpg?1444573526,FALSE,FALSE,FALSE,Tierra del Fuego,Brown trout tagging study on the Rio Grande in Tierra Del Fuego.  Study was conducted by U Montana. 
20121218,-45.11162517,167.9542947,2012-12-18 06:15:41 UTC,Brisbane,,Brown Trout,Salmonidae,Salmo trutta,47518,172543,8074,mccain,2013-01-04 04:27:50 UTC,2016-12-28 03:49:02 UTC,research,CC-BY,http://www.inaturalist.org/observations/172543,https://static.inaturalist.org/photos/228821/medium.jpg?1444582843,FALSE,FALSE,FALSE,Southland,
20121219,-45.1031443,167.9620194,2012-12-19 07:33:52 UTC,Brisbane,,Brown Trout,Salmonidae,Salmo trutta,47518,172551,8074,mccain,2013-01-04 04:27:58 UTC,2016-12-28 02:40:44 UTC,research,CC-BY,http://www.inaturalist.org/observations/172551,https://static.inaturalist.org/photos/228829/medium.jpg?1444582906,FALSE,FALSE,FALSE,Southland,
20121224,-45.50489566,168.1286579,2012-12-24 07:21:00 UTC,Brisbane,,Brown Trout,Salmonidae,Salmo trutta,47518,172553,8074,mccain,2013-01-04 04:27:59 UTC,2016-12-28 02:38:43 UTC,research,CC-BY,http://www.inaturalist.org/observations/172553,https://static.inaturalist.org/photos/228831/medium.jpg?1444582918,FALSE,FALSE,FALSE,Southland,
20121224,-45.890949,168.2763588,2012-12-24 07:12:54 UTC,Brisbane,,Brown Trout,Salmonidae,Salmo trutta,47518,172554,8074,mccain,2013-01-04 04:27:59 UTC,2016-12-28 02:37:41 UTC,research,CC-BY,http://www.inaturalist.org/observations/172554,https://static.inaturalist.org/photos/228832/medium.jpg?1444582925,FALSE,FALSE,FALSE,Southland,
20121224,-45.890949,168.2763588,2012-12-24 07:12:03 UTC,Brisbane,,Brown Trout,Salmonidae,Salmo trutta,47518,172555,8074,mccain,2013-01-04 04:28:00 UTC,2016-12-28 02:36:52 UTC,research,CC-BY,http://www.inaturalist.org/observations/172555,https://static.inaturalist.org/photos/228833/medium.jpg?1444582934,FALSE,FALSE,FALSE,Southland,
20121219,-45.09490454,167.9687142,2012-12-18 14:29:52 UTC,Brisbane,,Brown Trout,Salmonidae,Salmo trutta,47518,172556,8074,mccain,2013-01-04 04:28:01 UTC,2016-12-28 02:36:20 UTC,research,CC-BY,http://www.inaturalist.org/observations/172556,https://static.inaturalist.org/photos/228834/medium.jpg?1444582940,FALSE,FALSE,FALSE,Southland,
20121221,-45.10411361,167.9597878,2012-12-21 10:03:41 UTC,Brisbane,,Brown Trout,Salmonidae,Salmo trutta,47518,172557,8074,mccain,2013-01-04 04:28:01 UTC,2016-12-28 02:46:51 UTC,research,CC-BY,http://www.inaturalist.org/observations/172557,https://static.inaturalist.org/photos/228835/medium.jpg?1444582945,FALSE,FALSE,FALSE,Southland,
20120923,-53.96054833,-70.06027333,2012-09-22 16:53:33 UTC,Brisbane,,Brown Trout,Salmonidae,Salmo trutta,47518,173458,8074,mccain,2013-01-06 07:47:53 UTC,2014-10-19 22:02:14 UTC,research,CC-BY,http://www.inaturalist.org/observations/173458,https://static.inaturalist.org/photos/229964/medium.jpg?1357458584,FALSE,FALSE,FALSE,,
20130303,38.61316667,-122.7828333,2013-03-03 19:39:41 UTC,Pacific Time (US & Canada),FALSE,Rainbow Trout,Salmonidae,Oncorhynchus mykiss,47516,208718,477,loarie,2013-03-04 00:17:55 UTC,2017-04-05 22:30:29 UTC,research,CC0,http://www.inaturalist.org/observations/208718,https://static.inaturalist.org/photos/264708/medium.jpg?1362356355,FALSE,FALSE,FALSE,California,"Unlike other salmon, steelhead can go back and forth from the ocean to their spawning grounds up to 4 times. But they normally do die after one of these trips. This steelhead was pretty beat up but definitely still alive hanging out in Maacama creek off the Russian river. Weak enough to let me cradle it briefly and check that it's adipose fin was not clipped to confirm its wild as opposed to a hatchery bred fish"
20130330,38.043891,-122.749561,2013-03-30 20:20:56 UTC,Pacific Time (US & Canada),FALSE,Rainbow Trout,Salmonidae,Oncorhynchus mykiss,47516,226778,6349,chrispincetich,2013-04-01 03:20:38 UTC,2018-01-17 22:13:11 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/226778,https://static.inaturalist.org/photos/285899/medium.jpg?1364839099,FALSE,FALSE,FALSE,California,"Beautiful steelhead are holding at and defending a redd just outside of the SPAWN office. Come visit and have a look! Photo: Todd Steiner, SPAWNusa.org"
20130511,43.10166667,-72.76633333,2013-05-11 13:21:04 UTC,Eastern Time (US & Canada),FALSE,Brook Trout,Salmonidae,Salvelinus fontinalis,49596,262398,14784,mspickvt,2013-05-11 20:27:48 UTC,2016-01-18 02:52:25 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/262398,https://static.inaturalist.org/photos/325250/medium.jpg?1368304135,FALSE,FALSE,FALSE,Vermont,
20130515,30.275487,-97.813674,2013-05-15 16:09:43 UTC,Central Time (US & Canada),,Brown Trout,Salmonidae,Salmo trutta,47518,268673,13637,chriscanter,2013-05-15 16:11:32 UTC,2017-09-25 18:31:11 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/268673,https://static.inaturalist.org/photos/332375/medium.jpg?1368634347,FALSE,FALSE,FALSE,Texas,
20121209,38.61866667,-121.3068333,2012-12-09 22:36:45 UTC,Pacific Time (US & Canada),FALSE,Chinook Salmon,Salmonidae,Oncorhynchus tshawytscha,54191,269392,14811,snakeinmypocket,2013-05-16 15:30:15 UTC,2017-04-05 22:31:27 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/269392,https://static.inaturalist.org/photos/333263/medium.JPG?1368718288,FALSE,FALSE,FALSE,California,
20130521,44.83016667,-111.5136667,2013-05-21 19:15:51 UTC,Mountain Time (US & Canada),,Brown Trout,Salmonidae,Salmo trutta,47518,275028,14479,fishmav,2013-05-22 02:15:48 UTC,2014-10-20 03:00:22 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/275028,https://static.inaturalist.org/photos/340072/medium.jpg?1369189035,FALSE,FALSE,FALSE,Montana,
20130519,38.00266667,-111.4701667,2013-05-19 17:50:28 UTC,Mountain Time (US & Canada),FALSE,Cutthroat Trout,Salmonidae,Oncorhynchus clarkii,68075,278107,12700,johndavis,2013-05-25 17:32:28 UTC,2017-03-29 06:26:05 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/278107,https://static.inaturalist.org/photos/344141/medium.jpg?1369503483,FALSE,FALSE,FALSE,Utah,"FS biologist caught 4 native trout in Boulder Creek, Dixie NF, cloudy cool, 11 AM"
20130605,32.79333333,-116.902,2013-06-05 20:21:24 UTC,Pacific Time (US & Canada),FALSE,Rainbow Trout,Salmonidae,Oncorhynchus mykiss,47516,289591,14811,snakeinmypocket,2013-06-05 18:55:29 UTC,2017-08-18 11:24:47 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/289591,https://static.inaturalist.org/photos/358422/medium.jpg?1370458638,TRUE,FALSE,FALSE,California,Dead in the road. Road kill?
20130614,44.563039,-84.485507,2013-06-15 01:22:16 UTC,Eastern Time (US & Canada),FALSE,Brook Trout,Salmonidae,Salvelinus fontinalis,49596,301781,3518,jwhittle,2013-06-17 01:38:21 UTC,2014-10-20 04:09:45 UTC,research,CC-BY,http://www.inaturalist.org/observations/301781,https://static.inaturalist.org/photos/374262/medium.jpg?1371433148,FALSE,FALSE,FALSE,Michigan,
20130623,40.9195,-121.5525,2013-06-23 18:19:40 UTC,Pacific Time (US & Canada),FALSE,Rainbow Trout,Salmonidae,Oncorhynchus mykiss,47516,311883,933,chriswbrown,2013-06-26 00:04:59 UTC,2014-10-20 04:37:01 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/311883,https://static.inaturalist.org/photos/387001/medium.jpg?1372205590,FALSE,FALSE,FALSE,California,
