observed_on,latitude,longitude,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,positional_accuracy,geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_state_name,species_guess,common_name,taxon_family_name,taxon_genus_name,scientific_name,iconic_taxon_name,taxon_id,id
20150904,60.788016,-148.878221,2015-09-04 22:08:04 UTC,Alaska,TRUE,123446,humanlifeform,2015-09-05 00:01:57 UTC,2017-04-05 22:48:31 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1918589,https://static.inaturalist.org/photos/2344569/medium.jpg?1441411322,,,TRUE,1,0,FALSE,3,"Anchorage County, US-AK, US",5,,FALSE,,,,Alaska,Chum Salmon,Chum Salmon,Salmonidae,Oncorhynchus,Oncorhynchus keta,Actinopterygii,107572,1918589
20150902,57.01036806,-135.1603133,2015-09-03 01:48:19 UTC,Alaska,TRUE,25990,paul_norwood,2015-09-07 02:18:41 UTC,2017-04-05 22:48:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1923468,https://static.inaturalist.org/photos/2351454/medium.?1441592442,,Caught by Math,FALSE,1,0,FALSE,2,,4128,,FALSE,gps,gps,,Alaska,Chum Salmon,Chum Salmon,Salmonidae,Oncorhynchus,Oncorhynchus keta,Actinopterygii,107572,1923468
20150902,44.145216,-114.919803,2015-09-02 23:36:14 UTC,Mountain Time (US & Canada),TRUE,2281,cullen,2015-09-08 13:53:55 UTC,2017-04-05 22:48:34 UTC,research,CC0,http://www.inaturalist.org/observations/1927178,https://static.inaturalist.org/photos/2357068/medium.jpg?1441720459,,,FALSE,1,0,FALSE,3,"Sawtooth National Forest, Stanley, ID, US",5,,FALSE,,,,Idaho,Sockeye Salmon,Sockeye Salmon,Salmonidae,Oncorhynchus,Oncorhynchus nerka,Actinopterygii,69922,1927178
20150903,44.25262,-114.4938283,2015-09-03 18:10:33 UTC,Mountain Time (US & Canada),,2281,cullen,2015-09-08 13:54:00 UTC,2015-10-13 00:28:05 UTC,research,CC0,http://www.inaturalist.org/observations/1927180,https://static.inaturalist.org/photos/2357069/medium.jpg?1441720458,,,FALSE,1,0,FALSE,3,,,,FALSE,,,,Idaho,Westslope Cutthroat Trout,Westslope Cutthroat Trout,Salmonidae,Oncorhynchus,Oncorhynchus clarkii lewisi,Actinopterygii,237535,1927180
20150905,40.30947,-105.659821,,Central Time (US & Canada),FALSE,43012,mhudson26,2015-09-08 16:00:29 UTC,2018-02-02 05:56:04 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1927398,https://static.inaturalist.org/photos/2357372/medium.JPG?1441728040,"fish, RMNP",,FALSE,2,0,FALSE,,"Dream Lake, RMNP",,,FALSE,,,,Colorado,Cutthroat Trout,Cutthroat Trout,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,Actinopterygii,68075,1927398
20150828,47.17064528,-122.2180329,2015-08-28 17:05:04 UTC,Pacific Time (US & Canada),FALSE,105848,rivermalisha,2015-09-10 03:03:17 UTC,2017-08-16 00:03:19 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1931960,https://static.inaturalist.org/photos/2363654/medium.?1441854247,,,FALSE,1,0,FALSE,2,"Pierce County, US-WA, US",1032,,FALSE,gps,gps,,Washington,Pink Salmon,Pink Salmon,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,Actinopterygii,107570,1931960
20150911,57.065039,-135.330373,2015-09-11 22:28:51 UTC,Alaska,TRUE,14812,gwark,2015-09-12 05:58:26 UTC,2018-01-06 00:06:35 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/1938525,https://static.inaturalist.org/photos/2372924/medium.jpg?1442037511,,,FALSE,1,0,FALSE,,gavan hill trail,126,,FALSE,,,,Alaska,Pink Salmon,Pink Salmon,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,Actinopterygii,107570,1938525
20150830,45.73430555,7.94647222,,Hawaii,TRUE,112287,smuele,2015-09-13 15:31:29 UTC,2017-12-29 14:58:16 UTC,research,,http://www.inaturalist.org/observations/1942205,https://static.inaturalist.org/photos/2378265/medium.JPG?1442158293,,,FALSE,1,0,FALSE,,"Vercelli, Piemonte, IT",,,FALSE,,,,,Salmerino di fontana,Brook Trout,Salmonidae,Salvelinus,Salvelinus fontinalis,Actinopterygii,49596,1942205
20150913,50.402182,6.433507,2015-09-13 11:54:00 UTC,Berlin,TRUE,46085,lungta,2015-09-13 16:43:21 UTC,2017-12-01 12:55:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1942329,https://static.inaturalist.org/photos/2378443/medium.jpg?1442162620,,,FALSE,1,0,FALSE,,"53940 Hellenthal, Germnay",,,FALSE,,,,Nordrhein-Westfalen,Rainbow Trout,Rainbow Trout,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Actinopterygii,47516,1942329
20150914,42.03154,-75.411572,,Eastern Time (US & Canada),,4784,jerry2000,2015-09-15 01:38:59 UTC,2017-04-20 19:11:32 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/1947507,https://static.inaturalist.org/photos/2385632/medium.jpg?1442281147,,"About 15"" long, dark spots, only a few red ones, nice fish. Jumped a lot. From the West Branch of the Delaware.",FALSE,1,0,FALSE,,"Deposit, NY",98,,FALSE,,,,New York,Brown Trout,Brown Trout,Salmonidae,Salmo,Salmo trutta,Actinopterygii,47518,1947507
